2020-12-07 09:51:12.079 [main] INFO  com.linghang.skimlessons.dao.DaoTest - The following profiles are active: dev
2020-12-07 09:51:13.684 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-07 09:51:14.092 [main] INFO  com.linghang.skimlessons.dao.DaoTest - Started DaoTest in 2.398 seconds (JVM running for 3.38)
2020-12-07 09:51:14.343 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-12-07 09:51:16.879 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.linghang.skimlessons.service.ServiceTest], using SpringBootContextLoader
2020-12-07 09:51:16.880 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.linghang.skimlessons.service.ServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-12-07 09:51:16.880 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.linghang.skimlessons.service.ServiceTest]: ServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-12-07 09:51:16.884 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.linghang.skimlessons.SkimlessonsApplication for test class com.linghang.skimlessons.service.ServiceTest
2020-12-07 09:51:16.886 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-12-07 09:51:16.887 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@46dcbeab, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@36e43829, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@152c4495, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5ec1963c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7dcb42a9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6af90849, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1d06f16f, org.springframework.test.context.event.EventPublishingTestExecutionListener@4fa4f485, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@68dd39d2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4a44cfc0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@60e3c26e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@80b122b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@999b951, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@65cf4d6d]
2020-12-07 09:51:20.214 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.linghang.skimlessons.SkimlessonsApplicationTests], using SpringBootContextLoader
2020-12-07 09:51:20.214 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.linghang.skimlessons.SkimlessonsApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-12-07 09:51:20.214 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.linghang.skimlessons.SkimlessonsApplicationTests]: SkimlessonsApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-12-07 09:51:20.217 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.linghang.skimlessons.SkimlessonsApplication for test class com.linghang.skimlessons.SkimlessonsApplicationTests
